sentence_id	sentence	sentence_domain	source
00f267df6c2d5f334e9ffe90c9071a494a2464c6738f405f2b404f1bbc7c39ca	სი ჯგირო ვარექო?	general	ნია
01560df0000149e7b4371520b2ba129630603eae6f031d74c37b780615e93ab3	მა სი მიორქ.	technology_robotics	სოფო
0b9ca77cfaab381d361e5d1fb3de55e50ce49a4a26392f1c72ab3f97ef4b84d4	თეკლეეეე შე დუდუცო		ოკ
1995ca9f7ebd6fd19f7ae818957c689371e20bdd0dc333fccdd9fecb458da1db	სი გვერ სიიიი	agriculture_food,automotive_transport	ბარბარე ოყუჯავა
1a74036c2353cf7e462ef72913c71a6d2e96b45c6d6ba8110ff6fe51eeea77ac	jinx		ქართული ბავშვური გამონათქვამი
1bf77b60ea6862b8236b76390d86f588c9fe44fc7ec9064173b832cc0c064e5d	მა გლახათ ვორექ		სოფო
1c1c3b4911149880e23ea1743e588e7f9dc85609786d587151e5ad56cb30d12d	თე ამბეშ ფულუას ასე მუთუნ ვაწურდჷ.		ჯორჯ ორუელი „ორინჯეფიშ ფერმა“, მეგრულად თარგმნა გივი გ. ქარჩავამ, თბილისი, 2021.
20c517d3a7d9b7f6cfb77b27de4daeb5061280834ec0bdc5fe2913819a55279e	კატუ	general	მეგრული სიტყვები
21ca62990fa818604545773189025451f0aa574daff02066d724a41e9eea8733	ქოთომებ გიუნსო?		მე
427bbcab21056c1da8576565e5103473505c2e714a1006b1be911a327d242be3	მუჭო რექ ძღაბ	general	თინა
4aa584de925e602a8b4243bc26cabb3871a52a7effad7e1cb00dbb98eb8e0cc9	ბოროია სი		თეკლე კვარაცხელია
5496bceffdf58ce67cb4bbd91b0e9fdc46f5a9d6c9eedd2e3b91312be06cd6ef	სი დონწყილ ვარექო ცოთქვი და	automotive_transport,agriculture_food,finance	ანანო კვარაცხელია
5d5b64992231cb920abf22443d0b02727d38cea054c604316f221b59aba08451	გიჩქუნუ მუთუნ		ანანანო კვარაცხელია
5d8cb0b7ab68a38e0aed31b4542ff93bd7929ea9acc6ba856a33a68b0c9dfef5	თეკლე ყველაზე უჭკვიანესოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოო ვხუმრობ		სს
622dcdaba006134a4af691be0169476e9036156ea0230969eed5868d17e81097	ადრეიანი ირფელი ჯგირი რე ღურაში მეტია	technology_robotics	სოფო
85cbb602152905ad9ba8a1634e1f5b6a42d8c3569764846fc0a85d9697a8fd17	jinxოო		ბესო
914222128799dbf97647cd8bead6e2b49b0882a57303b17be8d1b9b89aa798db	"ჸუჩა ჩხოუ ხოლო ქაგუნია.""სახლში ძროხაც მოაგნებსო"		ფრრრრფ5რ4გტ4ჯ46;ჰყეუიგფ6წჰჯვტვგყბჰიგყჰბანეჯ;გჰყ8ოეი;ყგფწრყურ
96329e04c688b39c050fa57fabf49064f5637374cb02d04cfd5e0c57c845192b	ჯგირობუა	automotive_transport	კახა
985c5a3cf7e73772443db93de72f13049d668fd9837c3c14abba04582f359efa	დათო მურე ბო ონჯღორე ვაგიჩქუნო		თეკლე კვარაცხელია
9bbcee417686cd4b551cf59200130eda4ea8d6a0e80a73c29d9e1df3c56c061c	თეკლეეეეეეეეეეე ჩემთან მოდი ერთ ჭუთ		ფრრრრფ5რ4გტ4ჯ46;ჰყეუიგფ6წჰჯვტვგყბჰიგყჰბანეჯ;გჰყ8ოეი;ყგფწრყურ
a3faa06e7a15af3ab0126095bb0ea4c0d90e79f6a51c19064b5402aa02f1bab9	თეკლეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეე		მა
af2c5ef2abb08007cb38b649e8866b4c7c59802e54de2b8ecb9e5bcb26b1824b	სკან გულის ქგალე		წფ
af7402fc1bcbdabc0a48fc85488b76dc3e0f804c04f09a3d2d238b73d70baa53	მეფურინუნს	general	სფ
bd6284410a17456217b7c79bce6e841fa4b67655c74e23e203095398b7ed6dd7	თეკლე ეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეე		სს
bf04b108c89d739230dda3d614f40c4d65e00bec17a34d5d75ec8bf475a74c44	მარგალეფ ჯგირეფ ვორეთ	general	თინა
c044d72f2f833910232e7dc6e1a9b920731def013ae98d0b42405670ece956ed	მუ გოკო ბო 	general	ბარბარე ოყუჯავა
ca4c77b19501f54e3933fcafbf1f9541412c391cb8280b65820bb7a91832b6fa	ქობალიშ კაკალიშ თიაქ სარკონთ დეჭიჭარჷ დო ქირაგადუ, მანგიორი კარტოფილიშ თიას მუნუძინანთია არძოს.		ჯორჯ ორუელი „ორინჯეფიშ ფერმა“, მეგრულად თარგმნა გივი გ. ქარჩავამ, თბილისი, 2021.
cedf85f2d6baabce50709b16120d804d0edaed8ddd205e903658249e31e84ce9	ყველაფერი ადრეული სჯობია სიკვდილის მეტიო.	technology_robotics	სოფო
dc495159ce1a06ffc11f06413ab91aab2d6cd8f5fe371a81dcd312d94fd45557	თექლე ეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეე დუდუცი ხარ		მე
ddefa1834574c91f4b94fe1e37294ce13c320a9f2b06657c3ebbe86f05638cd2	თეკლე  უჭკვიანესოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოო ვხუმრობ		ოკ
e75b6b3089025e5cac5807d5e6279634794d0ac72db00c82178b6a9482ca7513	სი რექ დებილ		ანანანო კვარაცხელია
f7a3902ffc2c3203f403ae4631d9fd31a7623c0aa46690cd77f270cd80ec97dc	მუჭო რექ	general	თინა
fb9d42002cb1fbb311c4e821e49944151f9bcdb82cd3f84b68b693b8e8c08954	ათე შხვებ აფერისტებს მუშენ გვიძახუთ ???		გგგგ
fba8a5cd3e6959b5c6b332ecbf230855cb7796357443334fab4714b5b3e49139	ჯინქს	automotive_transport	ქართული ბავშვური გამონათქვამი
fe0eee131708ff5082099ebf7c36285cd9a79f0f38ee0c7704e5f0c6738c4467	თეკლეეეეეეეე სი ბოროოოოოოოოოოოოო		ოკ
